pathtime,mj_vx,mj_vy,cc_tgt,px,py,pz,vx,vy,vz,ax,ay,az
0,0.0,0.0,0,-38.356971740722656,5.774494647979736,-10.966354370117188,0.06509151309728622,-0.08652539551258087,0.0386761873960495,-0.7499417662620544,0.7392612099647522,-3.5999207496643066
0,0.0,0.0,0,-38.35626220703125,5.77376127243042,-10.966079711914062,0.09286965429782867,-0.07707379758358002,0.05361262336373329,-0.7351301312446594,2.610318660736084,1.2792713642120361
0,0.0,0.0,0,-38.35546875,5.77311372756958,-10.965988159179688,0.16887515783309937,-0.03783733397722244,0.07560475170612335,0.8990239500999451,2.770616054534912,2.1441869735717773
0,0.0,0.0,0,-38.354854583740234,5.772745609283447,-10.965866088867188,0.21292605996131897,-0.024977784603834152,0.11078742146492004,1.66877019405365,-2.1736035346984863,3.751246213912964
0,0.0,0.0,0,-38.35416030883789,5.7725677490234375,-10.965896606445312,0.20924150943756104,0.05438598245382309,0.0704176127910614,0.2102508246898651,-1.875457525253296,-3.2585949897766113
0,0.0,0.0,0,-38.35359573364258,5.772177219390869,-10.965713500976562,0.18128618597984314,0.061744917184114456,0.012370005249977112,0.32871174812316895,-1.5850216150283813,-5.553255081176758
0,0.0,0.0,0,-38.35286331176758,5.771880626678467,-10.965713500976562,0.1477746218442917,0.07469884306192398,0.005364581942558289,-1.3183075189590454,2.4960148334503174,-0.7629485130310059
0,0.0,0.0,0,-38.3520393371582,5.771403789520264,-10.9656982421875,0.17564940452575684,0.04656311497092247,0.0274001844227314,-2.088252067565918,0.6590949892997742,1.8137186765670776
0,0.0,0.0,0,-38.35120391845703,5.771189212799072,-10.96588134765625,0.2253703624010086,0.06905658543109894,0.05638277158141136,-0.24555453658103943,-0.7934258580207825,2.949136734008789
0,0.0,0.0,0,-38.35067367553711,5.77094841003418,-10.96600341796875,0.2447044551372528,0.0840742364525795,0.03348773717880249,1.2161099910736084,-2.7013070583343506,-2.03001070022583
0,0.0,0.0,0,-38.35000228881836,5.7707672119140625,-10.9661865234375,0.2285919189453125,0.14618921279907227,0.03795555606484413,-0.7127170562744141,0.8601799607276917,0.7753797769546509
0,0.0,0.0,0,-38.34943771362305,5.770318984985352,-10.966278076171875,0.22377963364124298,0.1559600681066513,0.023255283012986183,0.9366949796676636,-0.2659795582294464,-1.3651119470596313
0,0.0,0.0,0,-38.34902572631836,5.769813060760498,-10.966278076171875,0.21407651901245117,0.16419470310211182,0.03980937600135803,-0.2971019446849823,-0.5861283540725708,1.7164627313613892
0,0.0,0.0,0,-38.34872817993164,5.769203186035156,-10.966262817382812,0.20559567213058472,0.1898995339870453,0.0075282566249370575,1.353523850440979,0.5954843163490295,-3.057034969329834
0,0.0,0.0,0,-38.34843444824219,5.768465518951416,-10.966232299804688,0.14740613102912903,0.16447681188583374,-0.002171136438846588,-0.23422527313232422,-0.4414960741996765,-0.9645318388938904
0,0.0,0.0,0,-38.3481559753418,5.767483711242676,-10.96612548828125,0.11199772357940674,0.1396184265613556,-0.011257044039666653,0.41065478324890137,2.804821014404297,-1.1209055185317993
0,0.0,0.0,0,-38.3477783203125,5.766357421875,-10.966018676757812,0.1132299080491066,0.053990405052900314,0.030073659494519234,0.6884604692459106,1.8206309080123901,3.4642624855041504
0,0.0,0.0,0,-38.347354888916016,5.765178203582764,-10.965850830078125,0.10574009269475937,-0.03004886582493782,0.02814769186079502,-0.280851811170578,-0.8530781269073486,-0.7358812689781189
0,0.0,0.0,0,-38.34713363647461,5.764172554016113,-10.965667724609375,0.047014784067869186,-0.09619797021150589,0.014768462628126144,-1.3640542030334473,-4.285922527313232,-1.446372151374817
