pathtime,mj_vx,mj_vy,cc_tgt,px,py,pz,vx,vy,vz,ax,ay,az
0,0.0,0.0,0,-38.26641082763672,5.809211730957031,-11.01068115234375,0.008281305432319641,-0.05844178795814514,0.07135438919067383,-0.7006531953811646,0.5290336608886719,-4.313085556030273
0,0.0,0.0,0,-38.26611328125,5.807543754577637,-11.009506225585938,-0.03785248100757599,-0.09240344166755676,0.09431605786085129,-1.2506917715072632,2.7387239933013916,1.4005070924758911
0,0.0,0.0,0,-38.265750885009766,5.805723190307617,-11.008255004882812,-0.021969560533761978,-0.1666598618030548,0.12728728353977203,-1.329410433769226,-0.5279772877693176,2.5959889888763428
0,0.0,0.0,0,-38.265438079833984,5.804205417633057,-11.007110595703125,-0.016584359109401703,-0.16453468799591064,0.13983330130577087,-1.387366533279419,-0.8768504858016968,1.4544278383255005
0,0.0,0.0,0,-38.26523208618164,5.802402973175049,-11.005783081054688,-0.042969103902578354,-0.24409350752830505,0.1308073103427887,-2.1012415885925293,-2.1558380126953125,-1.6567858457565308
0,0.0,0.0,0,-38.264862060546875,5.8011250495910645,-11.004547119140625,-0.049978844821453094,-0.21334606409072876,0.16396880149841309,-1.5184515714645386,-0.4547617435455322,3.7696454524993896
0,0.0,0.0,0,-38.26445388793945,5.799601078033447,-11.0032958984375,0.008277246728539467,-0.18500027060508728,0.16061462461948395,0.23585234582424164,0.725732147693634,0.1163591593503952
0,0.0,0.0,0,-38.264122009277344,5.798298358917236,-11.002105712890625,0.022051412612199783,-0.18203046917915344,0.16757602989673615,-0.989918053150177,-2.724945545196533,1.1181436777114868
0,0.0,0.0,0,-38.26409149169922,5.796721935272217,-11.000991821289062,-0.014129547402262688,-0.181141197681427,0.10585884749889374,-0.11919847875833511,-0.1860429048538208,-6.2914042472839355
0,0.0,0.0,0,-38.26396560668945,5.795212268829346,-10.999847412109375,-0.07617071270942688,-0.20111671090126038,0.1381613314151764,-1.6681742668151855,1.7397996187210083,2.6150519847869873
0,0.0,0.0,0,-38.26362991333008,5.793760776519775,-10.998748779296875,-0.019125599414110184,-0.22941431403160095,0.1573045700788498,0.2663215696811676,-0.07477536052465439,1.7813595533370972
0,0.0,0.0,0,-38.26327896118164,5.792696952819824,-10.997711181640625,0.015938349068164825,-0.1857256144285202,0.18937437236309052,-0.903912365436554,-2.233091115951538,4.08770751953125
0,0.0,0.0,0,-38.263221740722656,5.791332721710205,-10.996658325195312,0.0192674919962883,-0.14620637893676758,0.13748513162136078,1.4327821731567383,-0.27888962626457214,-4.778095722198486
0,0.0,0.0,0,-38.263084411621094,5.790059566497803,-10.995742797851562,-0.05114781856536865,-0.15292075276374817,0.12533007562160492,-2.589480400085449,-1.6054821014404297,-1.2704434394836426
0,0.0,0.0,0,-38.26292037963867,5.788631439208984,-10.994842529296875,-0.0516473650932312,-0.15175119042396545,0.12786081433296204,-0.1442839354276657,2.952348232269287,-0.062069978564977646
0,0.0,0.0,0,-38.26264190673828,5.787280559539795,-10.994003295898438,-0.010523002594709396,-0.18249192833900452,0.16509215533733368,-0.6557352542877197,-0.784853458404541,3.597752809524536
0,0.0,0.0,0,-38.2624397277832,5.786069393157959,-10.993301391601562,0.0521857924759388,-0.14564497768878937,0.14282488822937012,1.3612754344940186,-0.729213535785675,-1.6639255285263062
0,0.0,0.0,0,-38.26249313354492,5.784820079803467,-10.992523193359375,0.011530999094247818,-0.16142240166664124,0.11979694664478302,0.38587650656700134,-2.9590280055999756,-2.284776210784912
0,0.0,0.0,0,-38.26244354248047,5.783433437347412,-10.99176025390625,-0.040367767214775085,-0.13893580436706543,0.09617037326097488,-0.9575068950653076,0.3759019076824188,-2.3059561252593994
0,0.0,0.0,0,-38.26231002807617,5.782154560089111,-10.991058349609375,-0.04954424500465393,-0.10519459843635559,0.116190105676651,-0.8779472708702087,1.1141620874404907,2.1980085372924805
0,0.0,0.0,0,-38.262149810791016,5.780729293823242,-10.990463256835938,0.0008860453963279724,-0.062292568385601044,0.1320781111717224,0.7366961240768433,2.8235225677490234,1.8111381530761719
0,0.0,0.0,0,-38.262062072753906,5.7793803215026855,-10.989837646484375,0.050158798694610596,-0.07217546552419662,0.1187015026807785,0.9007338285446167,-1.7620291709899902,-1.1968456506729126
0,0.0,0.0,0,-38.26224136352539,5.777862548828125,-10.989273071289062,0.04687681049108505,-0.06445653736591339,0.08658144623041153,2.2120232582092285,0.06967946887016296,-3.215275287628174
0,0.0,0.0,0,-38.26244354248047,5.77618932723999,-10.98858642578125,-0.0064823683351278305,-0.12697820365428925,0.0813293382525444,-0.7221863865852356,-0.20911966264247894,-1.2144500017166138
0,0.0,0.0,0,-38.26271438598633,5.774652481079102,-10.988250732421875,-0.042505376040935516,-0.12252231687307358,0.099629707634449,-0.8446151614189148,0.33327972888946533,1.7558045387268066
0,0.0,0.0,0,-38.2629508972168,5.773052215576172,-10.98785400390625,-0.06599882245063782,-0.14334337413311005,0.07844286412000656,-2.385725736618042,-2.236172914505005,-2.114732503890991
0,0.0,0.0,0,-38.263160705566406,5.771482467651367,-10.987518310546875,-0.0877789631485939,-0.07930006086826324,0.07649599760770798,-0.8622891902923584,2.5546998977661133,0.11350001394748688
0,0.0,0.0,0,-38.2633056640625,5.769533634185791,-10.987045288085938,-0.04356101527810097,-0.136271670460701,0.08674832433462143,0.023972615599632263,0.9322118163108826,0.5206505060195923
0,0.0,0.0,0,-38.26356506347656,5.7678542137146,-10.986801147460938,-0.0093226358294487,-0.15609531104564667,0.14177756011486053,0.2782641053199768,0.47593042254447937,5.337361812591553
0,0.0,0.0,0,-38.26386642456055,5.765794277191162,-10.986419677734375,0.03440404310822487,-0.20603349804878235,0.1169019564986229,0.6007470488548279,-3.7050797939300537,-2.525393009185791
0,0.0,0.0,0,-38.26428985595703,5.763967514038086,-10.986083984375,-0.04553847759962082,-0.16515465080738068,0.09033839404582977,-1.6477042436599731,-1.9757190942764282,-2.2445497512817383
0,0.0,0.0,0,-38.264801025390625,5.761709690093994,-10.985610961914062,-0.08243248611688614,-0.16397595405578613,0.05626804009079933,-0.07930781692266464,2.2024548053741455,-3.7073464393615723
0,0.0,0.0,0,-38.26508712768555,5.759626388549805,-10.98516845703125,-0.10226934403181076,-0.20277419686317444,0.10658478736877441,-1.2730776071548462,1.63296377658844,4.473264694213867
0,0.0,0.0,0,-38.26542663574219,5.757547378540039,-10.984756469726562,-0.025628630071878433,-0.21779368817806244,0.11390946805477142,1.1563235521316528,0.3709433376789093,0.7048260569572449
0,0.0,0.0,0,-38.265872955322266,5.755720615386963,-10.98431396484375,-0.014741551131010056,-0.21836350858211517,0.10939139872789383,0.5626417994499207,-2.653184413909912,-0.19224710762500763
0,0.0,0.0,0,-38.266387939453125,5.753656387329102,-10.9837646484375,-0.036848630756139755,-0.20875787734985352,0.08557248115539551,0.22348034381866455,0.3764314353466034,-2.3970019817352295
0,0.0,0.0,0,-38.26693344116211,5.751639366149902,-10.983139038085938,-0.06960342824459076,-0.2405174970626831,0.10269030928611755,-1.4931639432907104,-0.6027905344963074,1.4146144390106201
0,0.0,0.0,0,-38.267356872558594,5.74965238571167,-10.98260498046875,-0.03832261264324188,-0.19360947608947754,0.10012659430503845,-0.9776227474212646,1.6040390729904175,0.11457204818725586
0,0.0,0.0,0,-38.268001556396484,5.747652530670166,-10.981948852539062,-0.043692898005247116,-0.20881110429763794,0.09241244196891785,-0.5118580460548401,-1.2788749933242798,-0.8045811057090759
0,0.0,0.0,0,-38.268436431884766,5.745602130889893,-10.981353759765625,0.0017816200852394104,-0.1788000911474228,0.09195898473262787,0.680211067199707,2.445927619934082,0.0504242405295372
0,0.0,0.0,0,-38.26907730102539,5.743504047393799,-10.98052978515625,0.0068526491522789,-0.2323446422815323,0.12105660885572433,-0.25185564160346985,-1.3976982831954956,2.5376639366149902
0,0.0,0.0,0,-38.269622802734375,5.741796016693115,-10.979843139648438,0.028241291642189026,-0.15854758024215698,0.12728017568588257,-0.6946114897727966,-0.21692444384098053,1.320141315460205
0,0.0,0.0,0,-38.270164489746094,5.739836692810059,-10.979034423828125,0.028273805975914,-0.1613362431526184,0.09683574736118317,-2.2699196338653564,-2.5869140625,-2.855025291442871
0,0.0,0.0,0,-38.270877838134766,5.737776756286621,-10.978240966796875,0.02755991369485855,-0.11547219008207321,0.08110503852367401,0.6170353293418884,2.120257616043091,-1.4038708209991455
0,0.0,0.0,0,-38.271610260009766,5.735443115234375,-10.977371215820312,0.021562524139881134,-0.17960552871227264,0.09225070476531982,-0.5261514186859131,0.6679011583328247,0.49085840582847595
0,0.0,0.0,0,-38.272464752197266,5.733469009399414,-10.976638793945312,0.0017738789319992065,-0.18547965586185455,0.13959258794784546,-1.0626784563064575,-1.4466216564178467,4.774200916290283
0,0.0,0.0,0,-38.27334976196289,5.731481552124023,-10.975830078125,0.017154738306999207,-0.16883927583694458,0.11280109733343124,-0.8811625242233276,-2.9183568954467773,-2.3118886947631836
0,0.0,0.0,0,-38.27431106567383,5.729454517364502,-10.975006103515625,0.004460915923118591,-0.09926493465900421,0.09471708536148071,0.6096482276916504,2.054403066635132,-1.4546416997909546
0,0.0,0.0,0,-38.27529525756836,5.7272210121154785,-10.974090576171875,-0.015507295727729797,-0.1310288906097412,0.08771073073148727,-0.7197532057762146,1.4966620206832886,-1.0774741172790527
0,0.0,0.0,0,-38.2759895324707,5.72501277923584,-10.9732666015625,-0.026889100670814514,-0.18056079745292664,0.12575076520442963,-0.06020864099264145,-1.1807670593261719,3.4952943325042725
0,0.0,0.0,0,-38.276851654052734,5.722851753234863,-10.97247314453125,-0.059745773673057556,-0.2176705151796341,0.09764713793992996,-0.128433495759964,-3.091733932495117,-2.8770318031311035
0,0.0,0.0,0,-38.277793884277344,5.720803260803223,-10.971588134765625,-0.1341697722673416,-0.17908750474452972,0.07516227662563324,0.2538733184337616,-0.367022305727005,-2.005941390991211
0,0.0,0.0,0,-38.2786750793457,5.718549728393555,-10.97064208984375,-0.18344560265541077,-0.16324330866336823,0.04762383922934532,-1.166727066040039,2.670462131500244,-2.891125440597534
0,0.0,0.0,0,-38.27963638305664,5.716203212738037,-10.96966552734375,-0.17888832092285156,-0.21113480627536774,0.10039418190717697,1.6644366979599,1.9403454065322876,4.729372501373291
0,0.0,0.0,0,-38.28059005737305,5.714004039764404,-10.96875,-0.16392365097999573,-0.2573065161705017,0.09095761924982071,0.48026004433631897,-2.1528868675231934,-1.128455638885498
0,0.0,0.0,0,-38.28166580200195,5.712007522583008,-10.967758178710938,-0.18661431968212128,-0.26515620946884155,0.0652940571308136,0.5153007507324219,-3.9133405685424805,-2.3772478103637695
0,0.0,0.0,0,-38.28253173828125,5.709960460662842,-10.96673583984375,-0.20226868987083435,-0.18116679787635803,0.04307088628411293,-0.15180985629558563,3.183490514755249,-1.8575401306152344
0,0.0,0.0,0,-38.2834358215332,5.707668781280518,-10.965606689453125,-0.19584155082702637,-0.19876451790332794,0.08010777086019516,-0.3116723597049713,2.980428457260132,3.354126214981079
0,0.0,0.0,0,-38.28419876098633,5.705602169036865,-10.964569091796875,-0.15511053800582886,-0.19482159614562988,0.09311642497777939,0.03687945380806923,0.5471476912498474,1.3581817150115967
